,PJME_MW,hour,day_of_week,quarter,week,month,year,dayofyear,hour_sin,hour_cos,month_sin,month_cos,is_holiday,days_to_holiday,ma_7d,ma_30d,ma_90d,roll_std_7d,roll_min_7d,roll_max_7d,ewma_7d,ewma_30d,lag_1h,lag_2h,lag_3h,lag_6h,lag_12h,lag_24h,lag_48h,lag_168h
2002-04-01 16:00:00,29504.0,16,0,2,14,4,2002,91,-0.8660254037844385,-0.5000000000000004,0.8660254037844387,-0.4999999999999998,0,42,27398.72619047619,28747.706944444446,30029.65648148148,4244.933285133896,19247.0,35207.0,26625.336576455262,28505.323891199954,29881.0,30414.0,30605.0,30333.0,20771.0,23405.0,24397.0,30920.0
2002-04-01 17:00:00,29250.0,17,0,2,14,4,2002,91,-0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998,0,42,27387.339285714286,28748.14861111111,30028.720833333333,4237.334251018454,19247.0,35207.0,26656.397682059513,28507.394462635504,29504.0,29881.0,30414.0,30803.0,21334.0,23664.0,24416.0,31163.0
2002-04-01 18:00:00,29455.0,18,0,2,14,4,2002,91,-1.0,-1.8369701987210297e-16,0.8660254037844387,-0.4999999999999998,0,42,27371.928571428572,28747.070833333335,30026.10601851852,4224.987044690325,19247.0,35207.0,26689.51723611816,28510.029261893204,29250.0,29504.0,29881.0,30881.0,23015.0,24328.0,25048.0,32044.0
2002-04-01 19:00:00,30997.0,19,0,2,14,4,2002,91,-0.9659258262890684,0.2588190451025203,0.8660254037844387,-0.4999999999999998,0,42,27354.446428571428,28746.331944444446,30023.91388888889,4203.6946321048,19247.0,35207.0,26740.493363501653,28516.944191616105,29455.0,29250.0,29504.0,30605.0,25514.0,26048.0,26698.0,33934.0
2002-04-01 20:00:00,32619.0,20,0,2,14,4,2002,91,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,0,42,27343.136904761905,28748.51111111111,30022.515740740742,4186.825872344826,19247.0,35207.0,26810.061489377746,28528.349730794864,30997.0,29455.0,29250.0,30414.0,28033.0,26796.0,27858.0,34519.0
2002-04-01 21:00:00,32123.0,21,0,2,14,4,2002,91,-0.7071067811865477,0.7071067811865474,0.8660254037844387,-0.4999999999999998,0,42,27334.35119047619,28750.994444444445,30021.05185185185,4175.152202955292,19247.0,35207.0,26872.936501338103,28538.34439178958,32619.0,30997.0,29455.0,29881.0,29560.0,26680.0,27355.0,33599.0
2002-04-01 22:00:00,30581.0,22,0,2,14,4,2002,91,-0.5000000000000004,0.8660254037844384,0.8660254037844387,-0.4999999999999998,0,42,27326.64285714286,28752.98611111111,30019.46574074074,4167.90617213352,19247.0,35207.0,26916.81890960652,28544.02380872141,32123.0,32619.0,30997.0,29504.0,30333.0,25920.0,26173.0,31876.0
2002-04-01 23:00:00,28381.0,23,0,2,14,4,2002,91,-0.25881904510252157,0.9659258262890681,0.8660254037844387,-0.4999999999999998,0,42,27321.214285714286,28754.141666666666,30017.85648148148,4165.92316995859,19247.0,35207.0,26934.146496475172,28543.570538883338,30581.0,32123.0,32619.0,29250.0,30803.0,24487.0,24795.0,29293.0
2002-04-02 00:00:00,26028.0,0,1,2,14,4,2002,92,0.0,1.0,0.8660254037844387,-0.4999999999999998,0,43,27317.70238095238,28754.606944444444,30016.21990740741,4166.7681362551475,19247.0,35207.0,26923.422869297894,28536.57631584417,28381.0,30581.0,32123.0,29455.0,30881.0,23014.0,22985.0,26618.0
2002-04-02 01:00:00,24372.0,1,1,2,14,4,2002,92,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.4999999999999998,0,43,27312.946428571428,28755.24861111111,30014.484259259258,4169.688022705451,19247.0,35207.0,26893.228515814924,28524.997317215704,26028.0,28381.0,30581.0,30997.0,30605.0,21734.0,21175.0,25171.0
